name,full_path,extension,pair_key,side,size_bytes
UD_002_A_0109_04_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_04_a.jpg,.jpg,UD_002_A_0109_04,a,19546609
UD_002_A_0109_04_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_04_b.jpg,.jpg,UD_002_A_0109_04,b,20427532
UD_002_A_0110_01_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_01_a.jpg,.jpg,UD_002_A_0110_01,a,28216279
UD_002_A_0110_01_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_01_b.jpg,.jpg,UD_002_A_0110_01,b,18462578
UD_002_A_0110_02_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_02_a.jpg,.jpg,UD_002_A_0110_02,a,28216279
UD_002_A_0110_02_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_02_b.jpg,.jpg,UD_002_A_0110_02,b,18462578
UD_002_A_0110_03_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_03_a.jpg,.jpg,UD_002_A_0110_03,a,28216279
UD_002_A_0110_03_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_03_b.jpg,.jpg,UD_002_A_0110_03,b,18462578
UD_002_A_0110_04_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_04_a.jpg,.jpg,UD_002_A_0110_04,a,28216279
UD_002_A_0110_04_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0110_04_b.jpg,.jpg,UD_002_A_0110_04,b,18462578
