PairKey,SourceLayout,ABackbone,ARotateCW,BWinnerCW,WinnerScore,RunnerUpCW,RunnerUpScore,Margin,Score0,Score90,Score180,Score270
UD_001_C_083_03,UD_001_C_083,left,270,0,0.615453,180,0.490375,0.125078,0.615453,0.463066,0.490375,0.444432
UD_001_C_083_04,UD_001_C_083,left,270,0,0.615453,180,0.490375,0.125078,0.615453,0.463066,0.490375,0.444432
UD_001_C_084_01,UD_001_C_084,left,270,90,0.660821,180,0.490494,0.170327,0.489421,0.660821,0.490494,0.475794
UD_001_C_084_02,UD_001_C_084,left,270,90,0.660821,180,0.490494,0.170327,0.489421,0.660821,0.490494,0.475794
UD_001_C_084_03,UD_001_C_084,left,270,90,0.660821,180,0.490494,0.170327,0.489421,0.660821,0.490494,0.475794
UD_001_C_084_04,UD_001_C_084,left,270,90,0.660821,180,0.490494,0.170327,0.489421,0.660821,0.490494,0.475794
UD_001_C_085_01,UD_001_C_085,left,270,0,0.629116,90,0.495225,0.133891,0.629116,0.495225,0.481627,0.477369
UD_001_C_085_02,UD_001_C_085,left,270,0,0.629116,90,0.495225,0.133891,0.629116,0.495225,0.481627,0.477369
UD_001_C_085_03,UD_001_C_085,left,270,0,0.629116,90,0.495225,0.133891,0.629116,0.495225,0.481627,0.477369
UD_001_C_085_04,UD_001_C_085,left,270,0,0.629116,90,0.495225,0.133891,0.629116,0.495225,0.481627,0.477369
UD_001_D_062_01,UD_001_D_062,left,270,0,0.539719,180,0.515981,0.023738,0.539719,0.493806,0.515981,0.466246
UD_001_D_062_02,UD_001_D_062,left,270,0,0.539719,180,0.515981,0.023738,0.539719,0.493806,0.515981,0.466246
UD_001_D_062_03,UD_001_D_062,left,270,0,0.539719,180,0.515981,0.023738,0.539719,0.493806,0.515981,0.466246
UD_001_D_062_04,UD_001_D_062,left,270,0,0.539719,180,0.515981,0.023738,0.539719,0.493806,0.515981,0.466246
UD_001_D_063_01,UD_001_D_063,left,270,0,0.520955,180,0.474925,0.04603,0.520955,0.471539,0.474925,0.432836
UD_001_D_063_02,UD_001_D_063,left,270,0,0.520955,180,0.474925,0.04603,0.520955,0.471539,0.474925,0.432836
